length,elevation_gain,route_type,lat,lng,forest,lake,river,waterfall,beach,historic-site,cave,hot-springs,backpacking,is_jamie,difficulty_rating,avg_rating
26.4,1450,point to point,36.053,-112.083,0,0,1,0,0,1,0,0,1,1,very hard,4
10,130,out and back,45.573,-78.525,1,1,1,1,1,0,0,0,1,1,easy,1
55.1,1700,point to point,-45.452,167.575,1,1,1,1,1,0,1,0,1,1,very hard,5
38.9,290,out and back,45.191,-81.42,1,1,0,0,0,0,1,0,1,1,hard,5
32.5,470,loop,45.463,-78.798,1,1,1,0,0,0,0,0,1,1,hard,2
24.8,360,loop,45.573,-78.525,1,1,1,1,0,0,0,0,1,1,moderate,3
17.4,150,loop,45.556,-78.603,1,1,0,0,0,0,0,0,1,1,very hard,2
39.2,300,loop,44.577,-76.522,1,1,0,1,0,1,0,0,1,1,moderate,4
14,120,loop,44.902,-77.246,1,1,0,0,0,0,0,0,1,1,moderate,2
18.6,170,loop,45.867,-77.757,1,1,1,1,0,0,0,0,1,1,easy,3
