length,elevation_gain,route_type,lat,lng,forest,lake,river,waterfall,beach,historic-site,cave,hot-springs,backpacking,is_jamie
10.2,100,loop,44.519,-76.541,1,1,0,0,0,1,0,0,1,1
14.8,140,loop,46.905,-81.639,1,1,0,0,0,0,0,0,1,1
24.9,310,loop,48.591,-86.29,1,1,1,1,0,0,0,0,1,1
39.8,1120,loop,48.34,-88.822,1,1,1,0,1,0,0,0,1,1
20.2,400,out and back,47.351,-84.582,1,1,1,1,0,0,0,0,1,1
29.5,900,loop,46.583,-82.695,1,1,0,0,0,0,0,0,1,1
35,250,out and back,45.603,-78.954,1,1,0,0,0,1,0,0,1,1
79.2,1590,loop,46.017,-81.396,1,1,1,1,0,0,0,0,1,1
57,770,loop,45.463,-78.798,1,1,1,0,0,0,0,0,1,1
55.2,1130,loop,46.33,-74.5,1,1,1,0,0,0,0,0,1,1
47.2,2690,loop,44.182,-73.964,1,1,1,1,0,0,0,0,1,1
43.5,390,loop,45.603,-78.954,1,1,1,0,0,0,0,0,1,1
38,1320,point to point,46.113,-82.076,1,1,1,0,0,0,0,0,1,1
34.4,450,loop,45.573,-78.525,1,1,1,1,0,0,0,0,1,1
33.6,140,point to point,44.83,-79.058,1,1,1,1,0,0,0,0,1,1
32.5,190,loop,44.519,-76.541,1,1,0,0,0,1,0,0,1,1
32,160,loop,44.83,-79.058,1,1,1,1,0,0,0,0,1,1
24.4,540,loop,44.852,-79.862,1,1,0,0,1,0,0,0,1,1
24,230,loop,44.577,-76.522,1,1,0,1,0,1,0,0,1,1
22.2,660,loop,46.072,-81.18,1,1,1,1,1,0,0,0,1,1
20.9,140,loop,45.867,-77.757,1,1,1,1,0,0,0,0,1,1
16.8,130,loop,44.861,-78.821,1,1,0,0,0,0,0,0,1,1
15.1,100,loop,44.526,-76.531,1,1,0,0,0,1,0,0,1,1
10.4,110,loop,44.504,-76.038,1,1,0,0,0,0,0,0,1,1
8.9,70,loop,44.902,-77.246,1,1,0,0,0,0,0,0,1,1
8.5,50,loop,44.83,-79.058,1,1,1,1,0,0,0,0,1,1
79.5,2960,point to point,63.991,-19.06,0,1,1,1,0,0,0,1,1,1
75,1510,point to point,48.577,-124.417,1,0,1,1,1,0,1,0,1,1
70.4,660,point to point,47.559,-84.949,1,1,1,1,1,0,1,0,1,1
59.5,730,point to point,48.591,-86.29,1,1,1,1,1,0,0,0,1,1
36.5,1720,point to point,49.714,-57.663,1,1,1,0,0,0,0,0,1,1
35.4,1890,point to point,22.22,-159.583,1,0,1,1,1,0,1,0,1,1
27.2,850,loop,37.404,-111.009,0,0,1,1,0,0,0,0,1,1
13.2,830,out and back,46.873,-60.743,1,0,1,0,1,0,0,0,1,1
158.7,3800,point to point,44.745,-81.138,1,1,1,0,1,0,0,0,1,1
141.2,2400,point to point,47.32,-79.808,1,1,1,0,0,0,0,0,1,1
51.5,910,point to point,48.782,-87.125,1,1,1,1,0,0,0,0,1,1
24.2,270,loop,45.02,-81.284,1,1,0,0,0,0,0,0,1,1
9.4,260,out and back,47.752,-84.826,1,1,0,0,0,0,0,0,1,1
7.7,50,loop,44.779,-80.961,1,0,0,0,0,0,0,0,1,1
5.5,140,loop,45.299,-81.617,1,1,0,0,0,1,1,0,1,1
5.1,50,loop,43.974,-79.985,1,0,0,0,0,0,0,0,1,1
2.2,0,loop,44.517,-76.022,1,1,0,0,0,0,0,0,1,1
