#,name,len,gain,days,others,year,month,shelter,route_type,lat,lng,forest,lake,river,waterfall,beach,historic_site,cave,injury,difficulty,rating
1,South Kaibab + Bright Angel Trail,26.4,1450,2,1,2009,Jul,,point to point,36.053,-112.083,0,0,1,0,0,1,0,0,7,5
2,Highland Trail Failure,10,130,2,19,2012,Jun,tent,out and back,45.573,-78.525,1,1,1,1,1,0,0,1,1,1
3,Kepler Track,55.1,1700,3,0,2019,Nov,tent,point to point,-45.452,167.575,1,1,1,1,1,0,1,0,7,5
4,Bruce Trail (Upper Peninsula),38.9,290,3,1,2020,Oct,tent,out and back,45.191,-81.42,1,1,0,0,0,0,1,1,5,5
5,Western Uplands Trail (L1),32.5,470,3,1,2021,Oct,tent,loop,45.463,-78.798,1,1,1,0,0,0,0,1,5,1
6,Provoking Lake Loop,24.8,360,3,1,2021,Oct,tent,loop,45.573,-78.525,1,1,1,1,0,0,0,0,3,3
7,Minnesing Wilderness Ski Trail,17.4,150,2,0,2022,Mar,tent,loop,45.556,-78.603,1,1,0,0,0,0,0,0,7,2
8,Big Salmon Lake Loop,39.2,300,3,0,2022,May,hammock,loop,44.577,-76.522,1,1,0,1,0,1,0,1,3,4
9,Abes and Essens Lake Trail (L3),14,120,3,1,2022,May,hammock,loop,44.902,-77.246,1,1,0,0,0,0,0,1,3,2
10,Eastern Pines Trail (L1),18.6,170,3,1,2022,Jul,hammock,loop,45.867,-77.757,1,1,1,1,0,0,0,1,1,3
11,Tallow Rock Bay Trail,10.4,110,2,2,2022,Aug,hammock,loop,44.504,-76.038,1,1,0,0,1,0,0,0,1,4
12,Hawk Ridge Trail,14.8,140,2,0,2022,Sep,hammock,loop,46.905,-81.639,1,1,0,0,0,0,0,,,
13,Pukaskwa Coastal Loop,24.9,310,2,0,2022,Sep,hammock,loop,48.591,-86.29,1,1,1,1,0,0,0,,,
14,Kabeyun Trail,39.8,1120,3,0,2022,Sep,hammock,loop,48.34,-88.822,1,1,1,0,1,0,0,,,
15,Towab Trail,20.2,400,2,0,2022,Sep,hammock,out and back,47.351,-84.582,1,1,1,1,0,0,0,,,
16,McKenzie Trail,29.5,900,2,0,2022,Sep,hammock,loop,46.583,-82.695,1,1,0,0,0,0,0,,,
17,Brûlé Bushwack,35,250,4,2,2022,Oct,hammock,out and back,45.603,-78.954,1,1,0,0,0,1,0,,,
118,La Cloche Silhouette Trail,79.2,1590,,,,,,loop,46.017,-81.396,1,1,1,1,0,0,0,,,
119,Western Uplands Outer Loop,72.8,950,,,,,,loop,45.463,-78.798,1,1,1,0,0,0,0,,,
120,Sector of the Devil,55.2,1130,,,,,,loop,46.33,-74.5,1,1,1,0,0,0,0,,,
121,Mt. Marcy + Avalanche Pass,47.2,2690,,,,,,loop,44.182,-73.964,1,1,1,1,0,0,0,,,
122,Western Uplands Trail (L3),43.5,390,,,,,,loop,45.603,-78.954,1,1,1,0,0,0,0,,,
123,Frontenac Outer Loop,41.4,350,,,,,,loop,44.519,-76.541,1,1,0,0,0,1,0,,,
124,Heaven's Gate Trail,38,1320,,,,,,point to point,46.113,-82.076,1,1,1,0,0,0,0,,,
125,Highland Trail,34.4,450,,,,,,loop,45.573,-78.525,1,1,1,1,0,0,0,,,
126,Ganaraska Hiking Trail,33.6,140,,,,,,point to point,44.83,-79.058,1,1,1,1,0,0,0,,,
127,Ragid Rapids Loop,32,160,,,,,,loop,44.83,-79.058,1,1,1,1,0,0,0,,,
128,Slide Lake Loop,31.3,190,,,,,,loop,44.519,-76.541,1,1,0,0,0,1,0,,,
129,Beausoleil Island Outer Loop,24.4,540,,,,,,loop,44.852,-79.862,1,1,0,0,1,0,0,,,
130,Lac-du-Pimbina Trail,22.6,380,,,,,,loop,46.757,-72.812,1,1,1,0,0,0,0,,,
131,Wemtagoosh Falls Loop,22.2,660,,,,,,loop,46.072,-81.18,1,1,1,1,1,0,0,,,
132,Eastern Pines Trail (L2),20.9,140,,,,,,loop,45.867,-77.757,1,1,1,1,0,0,0,,,
133,Sheldon Lake Loop,16.8,130,,,,,,loop,44.861,-78.821,1,1,0,0,0,0,0,,,
134,Bach's Lookout,13.4,280,,,,,,loop,44.504,-76.038,1,1,0,0,1,0,0,,,
135,Mizzy Lake Trail,11.2,70,,,,,,loop,45.543,-78.696,1,1,1,0,1,0,0,,,
136,Abes and Essens Lake Trail (L1 + L2),8.9,70,,,,,,loop,44.902,-77.246,1,1,0,0,0,0,0,,,
