trail_name,user,region,park,province,country,latitude,longitude,start_date,end_date,distance,elevation_gain,max_temp,min_temp,rain,snow,summer_temp,winter_temp,annual_rain,annual_snow,forest,lake,river,waterfall,beach,historic_site,cave,hot_spring,difficulty,enjoyment,route_type,route,num_reviews,backpacking,nights,days,order
Grand Canyon,Jamie,Grand Canyon,Grand Canyon,Arizona,USA,36.053,-112.084,2009-05-22,2009-05-23,27.1,1510,17.1,9.0,27.9,0.0,32.3,-14.2,254.0,56.8,0,0,1,0,0,0,0,0,7,5,point to point,"https://www.komoot.com/plan/tour/d01AiYfPvlRvOg=FxjQC8Ipl0Kpj67RFkgAKfVwXnwjQjupt4A=/@36.0755210,-112.1179217,11.659z",1,1,1,2,1
Field Trip Failure,Jamie,Highway 60,Algonquin,Ontario,Canada,45.573,-78.525,2012-06-16,2012-06-17,10.0,140,26.8,16.8,0.0,0.0,28.4,-23.8,729.6,197.2,1,1,1,1,1,0,0,0,1,1,out and back,"https://www.komoot.com/plan/tour/d01ArdkSftRzYI=Fwf0BL7t0Bo2WSaO56LiVF5i9wsA/@45.5685222,-78.5049178,13.034z",1,1,1,2,2
Geothermals,Jamie,Myvatn,Myvatn,Iceland,Iceland,65.64,-16.915,2018-08-02,2018-08-03,30.5,580,15.2,8.5,1.5,0.0,17.9,-15.7,414.3,414.2,0,1,0,0,0,0,1,1,5,4,loop,"https://www.komoot.com/plan/tour/d01A-mVi_796cQ=FxhsE7HqY0B3_9AWNnUdPjcZQYSmDglWCOctC-mfoUIAnYzI6_w6rNuxm3bPJEhtph5nMqg21AdRI1QN3ZdUuULZ9ix23x-t3_RhASCGmhCJv_qxBR6Dhpo393WBCqlzu6_u58BQBKA3AA==/@65.6222979,-16.8666854,10.894z",1,1,1,2,3
Kepler Track,Jamie,Te Anau,Fiordland,South Island,New Zealand,-45.492,167.664,2019-11-28,2019-11-30,55.0,1780,19.8,7.1,0.5,0.0,22.0,-1.9,1320.6,40.1,1,1,1,1,1,0,1,0,7,5,point to point,"https://www.komoot.com/plan/tour/d01_Unaiwn-Vw8=FzlsCAT8fJsvfLPlz7dQBwvqTiByCRA_HcIV5ADg1FVDQXywH2imiRT2ZAIKQNqA/@-45.4413561,167.6327508,10.352z",1,1,2,3,4
Grotto Meteors,Jamie,North Shore,Bruce Peninsula,Ontario,Canada,45.191,-81.42,2020-10-20,2020-10-22,39.4,320,11.4,5.9,12.0,0.1,24.2,-15.8,761.8,177.7,1,1,0,0,0,0,1,0,3,5,out and back,"https://www.komoot.com/plan/tour/d01ArGLxPsln-E=Fyj0BIc4SrDD_UIAZKR_CCuasIti-f1vf9QkClsAsKLDw5xMA5nougA=/@45.2165213,-81.4706708,11.374z",1,1,2,3,5
Hypothermia Party,Jamie,Highway 60,Algonquin,Ontario,Canada,45.463,-78.798,2021-10-15,2021-10-17,32.6,530,20.4,6.1,24.4,0.0,28.2,-23.2,774.9,200.5,1,1,1,0,0,0,0,0,5,1,loop,"https://www.komoot.com/plan/tour/d01ArW2-_tNo_k=Fxj0EMy94rNxpszxNjAlqadM4BQj4LNneU52jmA=/@45.4908870,-78.8166749,11.307z",1,1,2,3,6
Lake Faya,Jamie,Highway 60,Algonquin,Ontario,Canada,45.573,-78.525,2021-10-22,2021-10-24,25.0,400,7.0,1.2,0.0,0.0,28.4,-23.8,729.6,197.2,1,1,1,1,0,0,0,0,3,2,loop,"https://www.komoot.com/plan/tour/d01ArdkSftRzYI=FxhsBg0lKH1xYXrRUqkdZp06YJTh2btZWNA=/@45.5599935,-78.4972530,12.357z",1,1,2,3,7
Minnesing,Jamie,Highway 60,Algonquin,Ontario,Canada,45.556,-78.603,2022-03-26,2022-03-27,17.5,180,4.5,-12.6,0.4,2.0,28.1,-23.4,729.6,197.2,1,1,0,0,0,0,0,0,7,2,loop,"https://www.komoot.com/plan/tour/d01ArcgKftQnhQ=FvjsE0CIx5Mf5UziXRBHmG-fDSrMyb_5wRDJUpCg/@45.5879834,-78.5907758,12.713z",1,1,1,2,8
First Frontenac,Jamie,Frontenac,Frontenac,Ontario,Canada,44.577,-76.522,2022-05-06,2022-05-08,42.3,350,15.6,3.6,0.0,0.0,30.5,-19.9,865.4,127.8,1,1,0,0,0,1,0,0,3,4,loop,"https://www.komoot.com/plan/tour/d01AqgvwftwXjE=Fxh0E-jjyAWEJevkQfRYgic1YVvxLsiaxoaNzHYo_WZX8l82FlU-S67zs5GrKwo7HF2_2gA=/@44.5606631,-76.4475210,12.426z",1,1,2,3,9
Bad Echo,Jamie,Bon Echo,Bon Echo,Ontario,Canada,44.902,-77.246,2022-05-13,2022-05-15,14.0,140,27.4,12.1,1.0,0.0,30.1,-21.7,750.6,158.3,1,1,0,0,0,0,0,0,1,2,loop,"https://www.komoot.com/plan/tour/d01Aq0ocPtlU1Q=FwgABIkHCGya5yRCU6h4YIRKMj3KSBfWxLFRkLvaoA==/@44.9199541,-77.2347337,12.106z",1,1,2,3,10
