name,user,park,province,country,latitude,longitude,distance,elevation_gain,summer_temp,winter_temp,annual_rain,annual_snow,forest,lake,river,waterfall,beach,historic_site,cave,hot_spring,difficulty,rating,route_type,route,backpacking,enjoyment
West Coast Trail,Jamie,Pacific Rim,British Columbia,Canada,48.577,-124.417,75.0,1510,24.6,-2.1,3151.7,121.0,1,0,1,1,1,1,1,0,5.825250221476977,4.29,point to point,https://www.alltrails.com/trail/canada/british-columbia/west-coast-trail-north-to-south,1,4.46408550880554
Full Western Uplands,Jamie,Algonquin,Ontario,Canada,45.463,-78.798,73.1,940,28.2,-22.3,864.3,210.8,1,1,1,0,0,0,0,0,4.718533439566024,3.73,loop,"https://www.komoot.com/plan/tour/d01ArW3F_tNo-U=FynsEzL3ippBkCv-kPyRHnzQ/@45.5389051,-78.8226251,9.843z",1,3.13588427375992
Grande Rota,Jamie,Santa Maria,Azores,Portugal,36.974,-25.165,70.6,2100,23.7,12.5,716.6,0.0,1,0,0,1,1,0,1,0,6.689237298149777,4.25,loop,,1,4.54490871691092
Lake Superior Coast,Jamie,Lake Superior,Ontario,Canada,47.559,-84.949,70.4,660,24.5,-22.1,876.1,225.4,1,1,1,1,1,0,1,0,4.479689216282606,4.51,point to point,"https://www.komoot.com/plan/tour/d01AtTTTfrwxco=Fyl4BMHk7dgkPGSyTInMPRWA/@47.5527335,-84.9065954,10.100z",1,4.034189600190907
Pukaskwa Coast,Jamie,Pukaskwa,Ontario,Canada,48.591,-86.29,59.5,730,24.0,-25.3,651.4,179.8,1,1,1,1,1,0,0,0,4.677877786341232,4.49,point to point,"https://www.komoot.com/plan/tour/d01AuVwIfrbUHQ=Fzp4BiwLCjiMrfNTHAA=/@48.3981206,-86.0771330,8.161z",1,3.9691663462882514
Okanagan Mountain,Jamie,Okanagan Mountain,British Columbia,Canada,49.782,-119.591,24.4,1230,35.7,-12.4,344.8,125.2,1,1,0,0,0,0,0,0,4.915472834308787,,loop,"https://www.komoot.com/plan/tour/d01Aveaw_jfK_8=FwkABN-KXjREZoAE4aA=/@49.7439451,-119.5888695,11.896z",1,4.103355052424266
Heaven's Gate Trail,Jamie,La Cloche,Ontario,Canada,46.113,-82.076,38.0,1320,24.4,-19.3,753.5,156.3,1,1,1,0,0,0,0,0,5.297424179948981,4.36,point to point,https://www.alltrails.com/trail/canada/ontario/heavens-gate-trail,1,4.112973499355827
Presidential Range,Jamie,White Mountains,New Hampshire,USA,44.281,-71.253,36.2,2220,25.9,-22.6,969.9,322.0,1,1,1,1,0,0,0,0,5.462078904243576,4.46,point to point,"https://www.komoot.com/plan/tour/d01AqOu2_vAwwI=Fwj4BVJBLiTALlAwWLQd_pAD1P9U6_8AeAXEndQIp7g3AW0VgRg48PoABHv7Ms_a3DVkBd13AQRoKWHu8qqAQRoaWzoaM1ACaaZNNkhvOnWbCuekt53cnge-RDGRRouA/@44.2634185,-71.2779426,10.113z",1,4.56405540804764
Highland Trail,Jamie,Algonquin,Ontario,Canada,45.573,-78.525,35.0,460,28.6,-22.9,740.8,196.5,1,1,1,1,0,0,0,0,3.304850682243481,2.83,loop,"https://www.komoot.com/plan/tour/d01ArdkS_tRzXU=Fxj4BNnDJ2klWanxmixjlYnE05KEUGOPE3Wg/@45.5428625,-78.5013269,11.480z",1,2.938291440299338
Spectrum Lake,Jamie,Monashee,British Columbia,Canada,50.504,-118.361,13.9,380,31.0,-17.0,520.9,398.0,1,1,1,0,0,0,0,0,3.1276822414282153,3.82,out and back,"https://www.komoot.com/plan/tour/d01AwKgfPjx9R0=FycABKGYqlOf077QegA=/@50.5074425,-118.3185254,12.844z",1,3.761059611366785
Pollett's Cove,Jamie,Cape Breton Highlands,Nova Scotia,Canada,46.873,-60.743,13.3,680,26.2,-11.6,1144.7,421.6,1,0,1,0,1,0,0,0,4.2719676169034,4.32,out and back,"https://www.komoot.com/plan/tour/d01Ass5-PxhInU=FxjsE7XtgxYhYnJqgA==/@46.8916151,-60.7096422,11.715z",1,4.210408886984725
Flowerpot Island,Jamie,Fathom Five,Ontario,Canada,45.299,-81.617,5.8,50,21.7,-13.2,719.2,180.7,1,1,0,0,0,1,1,0,1.5171168209688173,3.6,loop,"https://www.komoot.com/plan/tour/d01ArM1Q_sintI=FvfsBNMq6z5Q_YnNhbxQOOq7Q6gZw3qePAIsOrh2cZ74QNbo/@45.2998030,-81.6152390,14.793z",1,3.7481540793746193
