trail_id,summer_temp,winter_temp,annual_rain,annual_snow
10020048,19.6,-14.096,1828.43,1042.097
10236086,21.996,-30.4,400.09,124.166
10267857,19.6,-14.096,1828.43,1042.097
10236076,22.096,-30.3,400.09,124.166
10236082,22.296,-30.2,400.09,124.166
10241620,21.9,-32.7,400.09,124.166
10236080,21.996,-30.4,400.09,124.166
10236075,21.996,-30.4,400.09,124.166
10236084,22.296,-30.1,400.09,124.166
10327620,16.6,-29.596,509.07,291.69
10265252,19.5,-29.196,523.97,148.652
10333556,22.096,-30.4,400.09,124.166
10265251,19.6,-29.4,787.82,282.926
10393562,21.2,-35.196,400.09,124.166
10262541,19.196,-10.7,2263,376.208
10358126,21.096,-30.7,1111.1,300.762
10236078,22.296,-30.2,400.09,124.166
10343441,21.996,-30.4,400.09,124.166
10023165,21.096,-30.7,1111.1,300.762
10333569,21.996,-32.7,400.09,124.166
10347459,21.4,-23.7,716.33,186.158
10302108,18.996,-10.9,1993.81,688.639
10333558,22.096,-30.4,400.09,124.166
10513937,21.4,-23.7,716.33,186.158
10333557,22.096,-30.4,400.09,124.166
10302122,18.996,-10.896,1993.81,688.639
10265266,21.096,-30.7,1111.1,300.762
10302112,19.196,-10.696,2263,376.208
10302114,19.196,-10.696,2263,376.208
10187810,33.1,-13.196,254.03,56.833
10016964,32.4,-13.896,254.03,56.833
10237812,33.1,-13.196,254.03,56.833
10245012,32.4,-13.896,254.03,56.833
10265905,32.3,-13.996,254.03,56.833
10266148,33.1,-13.196,254.03,56.833
10094721,29.2,-15.496,289.93,77.259
10026816,31.4,-13.9,254.03,56.833
10235665,32.9,-13.396,254.03,56.833
10266521,32.4,-13.896,254.03,56.833
10016127,32.3,-13.996,254.03,56.833
10034910,40,-1.1,220.19,1.988
10337353,33.1,-13.196,254.03,56.833
10013850,29.2,-15.492,289.93,77.259
10031380,39.3,-1.296,220.19,1.988
10304374,33.1,-13.196,254.03,56.833
10236025,35.4,-8.9,163.34,20.51
10013966,39.3,-1.296,220.19,1.988
10004120,31.6,-12.196,254.03,56.833
10006500,33.6,-12.696,254.03,56.833
10259347,31.6,-12.196,254.03,56.833
10041313,29.2,-15.496,289.93,77.259
10244240,40.096,-1,220.19,1.988
10111405,40,-1.1,220.19,1.988
10286650,32.3,-13.996,254.03,56.833
10031336,29.3,-15.392,289.93,77.259
10031337,29.2,-15.492,289.93,77.259
10304469,32.4,-13.896,254.03,56.833
10273263,33.1,-13.196,254.03,56.833
10000811,30.7,-16.1,254.03,56.833
10009957,29.2,-15.496,289.93,77.259
10006953,39.3,-1.2,232.08,0.994
10297089,39.3,-8.6,212.5,34.804
10040243,29.2,-15.496,289.93,77.259
10026822,30.7,-16.1,289.93,77.259
10242023,39.9,-1.2,220.19,1.988
10255289,41.7,-6.2,205.73,44.317
10004435,40.3,-0.8,176.41,0.238
10258667,29.2,-15.496,289.93,77.259
10236026,35.4,-8.9,152.24,17.304
10258648,33.3,-12.9,254.03,56.833
10257085,32.3,-13.996,254.03,56.833
10236022,34.6,-9.996,177.9,28.861
10018269,34.8,-9.796,163.34,20.51
10265749,33.6,-12.6,254.03,56.833
10315767,32.4,-13.896,254.03,56.833
10023828,37.9,-7.9,134.34,9.632
10112001,41.4,0.2,176.41,0.238
10042232,32.1,-14,279.06,85.155
10365390,29.2,-15.496,289.93,77.259
10267208,39.3,-1.392,220.19,1.988
10293249,40,-1.1,220.19,1.988
10258317,33.1,-13.196,254.03,56.833
10002324,31.3,-12.5,254.03,56.833
10274527,29.2,-15.496,289.93,77.259
10009628,29.2,-15.496,289.93,77.259
10009444,33.3,-12.9,254.03,56.833
10251377,35.5,-8.5,152.24,17.304
10042018,34.7,-9.896,163.34,20.51
10331092,29.2,-15.496,289.93,77.259
10002217,40.2,-0.896,220.19,1.988
10041071,39.3,-1.8,232.08,0.994
10236028,35.5,-8.5,152.24,17.304
10259343,31.7,-12.1,254.03,56.833
10306310,39.8,-1.3,220.19,1.988
10039522,39.3,-1.2,232.08,0.994
10304719,32.3,-13.996,254.03,56.833
10032774,40,-1.1,220.19,1.988
10111504,40,-1.1,220.19,1.988
10246734,32.4,-13.896,254.03,56.833
10281018,39.3,-1.2,232.08,0.994
10038311,39.3,-1.2,232.08,0.994
10258602,28.3,-16.992,289.93,77.259
10011949,39.6,-1.496,232.08,0.994
10298010,40,-1.1,220.19,1.988
10302747,33.3,-12.9,254.03,56.833
10259900,41,-0.1,214.85,0.896
10235597,28.7,-15.992,289.93,77.259
10311930,39.3,-1.296,220.19,1.988
10013382,33.2,-14.696,279.06,85.155
10236023,35.7,-8.9,163.34,20.51
10111280,39.9,-1.2,220.19,1.988
10258739,31.7,-12.1,254.03,56.833
10023951,28.3,-16.896,289.93,77.259
10270136,35.8,-8.796,161.66,16.002
10287374,39.9,-1.2,220.19,1.988
10272964,33.3,-12.9,254.03,56.833
10035690,39.3,-1.2,232.08,0.994
10258650,31,-15.8,254.03,56.833
10258659,30.6,-16.2,289.93,77.259
10258654,29.3,-15.392,289.93,77.259
10315676,39.9,-1.2,220.19,1.988
10259353,32.4,-13.896,254.03,56.833
10039514,39.8,-1.3,220.19,1.988
10013558,32.5,-11,254.03,56.833
10013912,33.1,-13.196,254.03,56.833
10272375,35.4,-8.9,163.34,20.51
10269962,40,-1.1,220.19,1.988
10269284,39.596,-1.5,316.68,3.57
10259355,33.3,-12.9,254.03,56.833
10013747,40.6,-0.5,176.41,0.238
10259354,33.3,-12.9,254.03,56.833
10112153,40.096,-1,220.19,1.988
10389448,32.3,-13.9,254.03,56.833
10016910,31.7,-13.6,254.03,56.833
10267209,40.6,-0.596,176.41,0.238
10259344,32.1,-11.696,254.03,56.833
10266285,32.3,-13.996,254.03,56.833
10297375,34.6,-9.996,177.9,28.861
10013255,31.8,-11.996,254.03,56.833
10269670,41.496,0.204,176.41,0.238
10384519,29.2,-15.496,289.93,77.259
10263759,40,-1.1,220.19,1.988
10021291,40.696,-1.4,359.9,6.916
10017278,33.3,-12.9,254.03,56.833
10268598,39.3,-1.2,232.08,0.994
10235600,28.3,-16.896,289.93,77.259
10398395,39.5,-1.6,290.41,5.915
10235592,29.2,-15.496,289.93,77.259
10306312,39.9,-1.2,220.19,1.988
10259348,31.6,-12.196,254.03,56.833
10347292,41.8,-6.1,205.73,44.317
10258670,32.1,-14,279.06,85.155
10272332,35.3,-8.896,152.24,17.304
10041333,40.896,-0.2,176.41,0.238
10004062,33.3,-12.9,254.03,56.833
10018933,37.9,-6.296,213.26,36.316
